Year,Count,Herb
1993,2,Total
1996,3,Total
1997,4,Total
1999,7,Total
2000,8,Total
2001,10,Total
2002,11,Total
2003,13,Total
2004,15,Total
2005,17,Total
2006,19,Total
2008,20,Total
2009,22,Total
2010,25,Total
2011,29,Total
2012,30,Total
2013,32,Total
2014,35,Total
2015,38,Total
2016,44,Total
2017,49,Total
2018,50,Total
2020,51,Total
1993,2,ALS
1996,3,ALS
1997,3,ALS
1999,4,ALS
2000,5,ALS
2001,7,ALS
2002,7,ALS
2003,7,ALS
2004,8,ALS
2005,8,ALS
2006,9,ALS
2008,9,ALS
2009,9,ALS
2010,10,ALS
2011,11,ALS
2012,12,ALS
2013,14,ALS
2014,15,ALS
2015,16,ALS
2016,16,ALS
2017,16,ALS
2018,16,ALS
2020,16,ALS
1993,0,ACCase
1996,0,ACCase
1997,1,ACCase
1999,1,ACCase
2000,1,ACCase
2001,1,ACCase
2002,2,ACCase
2003,3,ACCase
2004,3,ACCase
2005,3,ACCase
2006,3,ACCase
2008,3,ACCase
2009,3,ACCase
2010,3,ACCase
2011,3,ACCase
2012,3,ACCase
2013,3,ACCase
2014,3,ACCase
2015,3,ACCase
2016,4,ACCase
2017,4,ACCase
2018,4,ACCase
2020,4,ACCase
1993,0,Auxinicos
1996,0,Auxinicos
1997,0,Auxinicos
1999,2,Auxinicos
2000,2,Auxinicos
2001,2,Auxinicos
2002,2,Auxinicos
2003,2,Auxinicos
2004,2,Auxinicos
2005,2,Auxinicos
2006,2,Auxinicos
2008,2,Auxinicos
2009,2,Auxinicos
2010,2,Auxinicos
2011,2,Auxinicos
2012,2,Auxinicos
2013,2,Auxinicos
2014,2,Auxinicos
2015,2,Auxinicos
2016,2,Auxinicos
2017,2,Auxinicos
2018,2,Auxinicos
2020,2,Auxinicos
1993,0,EPSPs
1996,0,EPSPs
1997,0,EPSPs
1999,0,EPSPs
2000,0,EPSPs
2001,0,EPSPs
2002,0,EPSPs
2003,1,EPSPs
2004,1,EPSPs
2005,3,EPSPs
2006,3,EPSPs
2008,4,EPSPs
2009,4,EPSPs
2010,5,EPSPs
2011,5,EPSPs
2012,5,EPSPs
2013,5,EPSPs
2014,6,EPSPs
2015,7,EPSPs
2016,8,EPSPs
2017,8,EPSPs
2018,8,EPSPs
2020,9,EPSPs
1993,0,Multi
1996,0,Multi
1997,0,Multi
1999,0,Multi
2000,0,Multi
2001,0,Multi
2002,0,Multi
2003,0,Multi
2004,1,Multi
2005,1,Multi
2006,2,Multi
2008,2,Multi
2009,4,Multi
2010,5,Multi
2011,8,Multi
2012,8,Multi
2013,8,Multi
2014,8,Multi
2015,9,Multi
2016,12,Multi
2017,16,Multi
2018,17,Multi
2020,17,Multi
1993,0,PPO
1996,0,PPO
1997,0,PPO
1999,0,PPO
2000,0,PPO
2001,0,PPO
2002,0,PPO
2003,0,PPO
2004,0,PPO
2005,0,PPO
2006,0,PPO
2008,0,PPO
2009,0,PPO
2010,0,PPO
2011,0,PPO
2012,0,PPO
2013,0,PPO
2014,1,PPO
2015,1,PPO
2016,1,PPO
2017,2,PPO
2018,2,PPO
2020,2,PPO
1993,0,FSI
1996,0,FSI
1997,0,FSI
1999,0,FSI
2000,0,FSI
2001,0,FSI
2002,0,FSI
2003,0,FSI
2004,0,FSI
2005,0,FSI
2006,0,FSI
2008,0,FSI
2009,0,FSI
2010,0,FSI
2011,0,FSI
2012,0,FSI
2013,0,FSI
2014,0,FSI
2015,0,FSI
2016,1,FSI
2017,1,FSI
2018,1,FSI
2020,1,FSI
